rank,information__list_id,information__system,information__is_cloud,information__is_vendor,information__institution,information__storage_vendor,information__submission_date,information__storage_install_date,information__filesystem_type,information__filesystem_version,information__client_nodes,information__client_total_procs,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_volatile_memory_capacity,information__md_storage_type,information__md_storage_interface,information__md_network,information__ds_nodes,information__ds_storage_devices,information_net_ds_storage_devices,information__ds_volatile_memory_capacity,information__ds_storage_type,information__ds_storage_interface,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,information__ds_network,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
1,isc20,Wolf,no,,Intel,Intel,7/13/2020,#N/A,DAOS,1.1,52,1664,32,CentOS,7.7.1908,3.10.0-1062.12.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,30,2,60,512GB,3DXP,DIMM,10,600,Omnipath,243.64,575.59,261.22,520.92,12326.3,11928.8,6897.99,5646.53,8620.14,10723.2,6695.91,8838.37,5103.14,371.67,8649.57,1792.98
2,isc20,Wolf,no,,Intel,Intel,7/13/2020,#N/A,DAOS,1.1,52,1664,32,CentOS,7.7.1908,3.10.0-1062.12.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,30,2,60,512GB,3DXP,DIMM,10,600,Omnipath,244.31,576.15,267.58,489.25,11977.14,8189.87,5496.88,5470.99,7472,7910.95,5396.35,6637.83,4448.46,368.44,7070.51,1614.02
3,sc19,#N/A,yes,,Amazon,Amazon,11/11/2019,11/8/2019,wekaio,3.5,345,8625,25,Amazon Linux,2017.09,4.9.51-10.52.amzn1.x86_64,120,8,768GB,NAND,NVMe,#N/A,120,8,960,768GB,NAND,NVMe,0.15,144,Ethernet,298.13,325.62,71.57,134.2,2235.66,36673.3,3385.19,438.86,7709.03,28649.1,476.12,32781.35,2770.21,174.74,5045.33,938.95
4,sc19,Wolf,no,,Intel,Intel,11/8/2019,#N/A,DAOS,0.6,26,728,28,CentOS,7.7.1908,3.10.0-1062.1.2.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,24,2,48,128GB,3DXP,DIMM,10,480,Omnipath,108.24,308.91,122.91,275.09,6003.6,7237,4556.56,2417.72,4067.59,6870.7,4551.32,4283.79,2705.53,183.36,4753.79,933.64
5,isc20,Frontera,no,,TACC,Intel,7/13/2020,#N/A,DAOS,1.1,60,1440,24,CentOS,7.8.2003,3.10.0-1127.13.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,16,24,384,256GB,3DXP,DIMM,10,3840,IB,90.84,75.75,76.33,71.62,11306,11124.8,6542.63,5015.78,7406.07,9156.06,5949.25,5696.3,2748.86,78.31,7449.56,763.8
6,isc20,Wolf,no,,Intel,Intel,7/13/2020,#N/A,DAOS,1.1,10,420,42,CentOS,7.7.1908,3.10.0-1062.12.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,30,2,60,512GB,3DXP,DIMM,10,600,Omnipath,178.29,212.83,120.62,161.04,4828.03,4600.36,2795.34,2317.04,3231.39,4109.81,2768.94,4194.62,2126.15,164.77,3493.56,758.71
7,isc20,Frontera,no,,TACC,Intel,7/13/2020,#N/A,DAOS,1.1,60,1440,24,CentOS,7.8.2003,3.10.0-1127.13.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,16,24,384,256GB,3DXP,DIMM,10,3840,IB,79.97,74.67,76.5,70.76,11268.77,11157.56,6438.14,5030.24,7372.83,9015.77,5908.4,6816.42,2745.99,75.4,7580.23,756.01
8,isc20,Wolf,no,,Intel,Intel,7/13/2020,#N/A,DAOS,1.1,10,420,42,CentOS,7.7.1908,3.10.0-1062.12.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,30,2,60,512GB,3DXP,DIMM,10,600,Omnipath,176.34,204.32,119.8,164.31,4707.23,4392.86,2745.02,2326.17,3164.63,3962.69,2801.64,3200.33,2049.53,163.19,3322.4,736.33
9,isc20,Presque,no,,Argonne National Laboratory,Argonne National Laboratory,7/13/2020,11/15/2019,DAOS,1.1,16,544,34,Red Hat Enterprise Linux,7.7,3.10.0-1062.4.3.el7.x86_64,10,12,384GB,3DXP,DIMM,100GbE,10,12,120,384GB,NAND,NVMe,0.15,18,100GbE,114.58,130.23,112.27,81.77,4386.2,4521.23,2559.27,924.09,2100.11,3730.5,2357.16,2969.3,1544.19,108.19,2668.57,537.31
10,sc19,Wolf,no,,Intel,Intel,11/8/2019,#N/A,DAOS,0.6,10,310,31,CentOS,7.7.1908,3.10.0-1062.1.2.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,24,2,48,128GB,3DXP,DIMM,10,480,Omnipath,108.31,185.12,93.18,126.12,2615.89,2856.7,1880.53,1273.79,1897.29,2829.32,1869.05,2565.53,1399.89,123.89,2152.46,516.41
11,isc20,Frontera,no,,TACC,Intel,7/13/2020,#N/A,DAOS,1.1,10,420,42,CentOS,7.8.2003,3.10.0-1127.13.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,15,24,360,256GB,3DXP,DIMM,10,3600,IB,97.47,72.61,83.42,66.51,5151.86,4672.87,2788.83,2343.71,3215.92,4081.08,2716.13,2339.18,1593.86,79.16,3271.49,508.88
12,isc20,Frontera,no,,TACC,Intel,7/13/2020,#N/A,DAOS,1.1,10,420,42,CentOS,7.8.2003,3.10.0-1127.13.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,15,24,360,256GB,3DXP,DIMM,10,3600,IB,96.78,70.65,82.73,67.03,4835.24,4653.56,2787.23,2323.15,3206.32,3971.63,2710.68,2646.56,1591.14,78.47,3277.36,507.13
13,isc20,Presque,no,,Argonne National Laboratory,Argonne National Laboratory,7/13/2020,11/15/2019,DAOS,1.1,16,544,34,Red Hat Enterprise Linux,7.7,3.10.0-1062.4.3.el7.x86_64,10,12,384GB,3DXP,DIMM,100GbE,10,12,120,384GB,NAND,NVMe,0.15,18,100GbE,101.04,127.91,106.91,80,4240.89,4185.47,2249.35,813.6,1918.11,3430.21,2188.87,1561.26,1365.78,102.54,2280.05,483.52
14,sc19,Tianhe-2E,no,,National Supercomputing Center in Changsha,National University of Defense Technology,11/10/2019,8/1/2019,Lustre,2.12.2,480,5280,11,Kylin Linux,4,3.10.0,40,1,1.6TB,NAND,NVMe,Omnipath,52,11,572,384GB,NAND,NVMe,0.15,85.8,Omnipath,608.64,613.53,31.87,161.64,1099.18,2416.4,961.62,554.07,779.21,2419.15,203.5,1603.06,988.79,209.43,982.78,453.68
15,isc20,Presque,no,,Argonne National Laboratory,Argonne National Laboratory,7/13/2020,11/15/2019,DAOS,1.1,10,380,38,Red Hat Enterprise Linux,7.7,3.10.0-1062.4.3.el7.x86_64,8,12,384GB,3DXP,DIMM,100GbE,8,12,96,384GB,NAND,NVMe,0.15,14.4,100GbE,133.28,131.95,80.92,59.19,3315.18,3403.63,1916.96,725.92,1575.54,2900.14,1822.73,2177.51,1234.37,95.8,2026.8,440.64
16,isc20,Presque,no,,Argonne National Laboratory,Argonne National Laboratory,7/13/2020,11/15/2019,DAOS,1.1,10,380,38,Red Hat Enterprise Linux,7.7,3.10.0-1062.4.3.el7.x86_64,8,12,384GB,3DXP,DIMM,100GbE,8,12,96,384GB,NAND,NVMe,0.15,14.4,100GbE,134.05,124.52,66.59,57.37,3088.11,3087.05,1786.92,756.78,1476.13,2635.54,1386.67,1415.44,1103.92,89.36,1774.79,398.25
17,isc20,NURION,no,,KISTI,DDN,7/13/2020,2018,IME,1.4,2048,2048,1,CentOS,7.7.1908,3.10.0-1062.el7.x86_64,48,16,1.2GB,NAND,NVMe,Omnipath,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,787.72,690.78,740.42,175.4,22.62,1667.46,28.24,15.67,1320.59,1659.24,18.38,489.04,389.3,515.59,154.74,282.45
18,isc20,Oracle Cloud Infrastructure,yes,,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/19/2020,BeeGFS,7.1.5,270,3240,12,Oracle Linux UEK,7.7,4.14.35-1902.6.6.el7uek.x86_64,270,1,384GB,NAND,NVMe,100GbE,270,1,270,384GB,NAND,NVMe,0.15,40.5,Ethernet,465.69,665.58,67.57,352.15,2888.24,13150.1,4880.11,1.82,17.63,30.92,7.95,8524.15,436.55,293.05,243.73,267.25
19,sc19,DGX-2H SuperPOD,no,,NVIDIA,DDN,11/12/2019,5-Nov,Lustre,5,10,400,40,NVIDIA DGX-OS,4.02,4.15.0-50-generic,10,2,1.92TB,NAND,NVMe,IB-EDR,10,21,210,192GB,NAND,NVMe,0.15,31.5,IB-EDR,273.16,286.17,11.16,65.59,799.58,2000.81,485.87,446.27,472.52,881.03,584.58,815.97,597.16,86.97,715.76,249.5
20,sc19,Data Accelerator,no,,University of Cambridge,Dell EMC,11/10/2019,5/1/2018,Lustre,2.13 (tip of master branch as of running),128,2048,16,CentOS,7.7.1908,3.10.0-957.10.1.el7.x86_64,24,1,192GB,NAND,NVMe,Omnipath,24,12,288,192GB,NAND,NVMe,0.15,43.2,Omnipath,341.24,383.01,14.14,160.55,1679.63,402.08,715.5,274.07,466.83,35.93,106.3,2839.21,465.59,131.25,401.13,229.45
21,sc19,Tera-1000,no,,CEA,DDN,11/7/2019,9/16/2019,Lustre,2.12.3,128,4096,32,CentOS,7.6.1810,3.10.0-957.21.3,128,1,75GB,NAND,NVMe,IB-EDR,128,1,128,75GB,NAND,#N/A,0.15,19.2,IB-EDR,836.65,789.34,4.49,14.51,1317.85,384.57,676.12,465.51,348.6,730.73,243.33,795.81,486.73,81.01,545.74,210.26
22,isc20,Oracle Cloud Infrastructure,yes,,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/7/2020,BeeGFS,7.1.5,170,2040,12,Oracle Linux UEK,7.7,4.14.35-1902.6.6.el7uek.x86_64,150,1,384GB,NAND,NVMe,100GbE,170,1,170,384GB,NAND,NVMe,0.15,25.5,Ethernet,333.85,422.2,35.72,187.34,1913.3,8261.12,3602.59,2.42,18.24,25.9,8.34,6537.04,331.32,175.24,208.39,191.1
23,isc20,Oakforest-PACS,no,,JCAHPC,DDN,7/13/2020,12/1/2016,IME,1.3.2.1,512,4096,8,CentOS,7.3.1611,3.10.0-514.el7.x86_64,1,12,#N/A,NAND,NVMe,Omnipath,24,2,48,#N/A,NAND,NVMe,0.15,7.2,Omnipath,371.7,578.73,292.75,235.43,12.2,1004.53,104.68,2.25,693.18,663.3,23.9,119.84,235.72,348.95,88.62,175.85
24,isc20,Oakforest-PACS,no,,JCAHPC,DDN,7/13/2020,12/1/2016,IME,1.2.2,2048,16384,8,CentOS,7.3.1611,3.10.0-514.el7.x86_64,1,12,#N/A,NAND,NVMe,Omnipath,24,2,48,#N/A,NAND,NVMe,0.15,7.2,Omnipath,917.79,1000.35,402.19,309.5,51.39,180.01,38.92,13.09,126.68,40.47,4.74,271.76,187.22,581.43,48.6,168.09
25,sc19,#N/A,yes,,Amazon,Amazon,11/12/2019,11/11/2019,wekaio,3.5,10,2610,261,CentOS,7.6.1810,3.10.0-957.el7.x86_64,26,6,352GB,NAND,NVMe,IB-HDR,26,6,156,352GB,NAND,NVMe,0.15,23.4,IB-HDR,81.06,85.54,25.64,56.16,789.96,4155.24,921.6,112.61,489.3,32.5,35.05,6846.39,370.88,56.22,435.76,156.51
26,isc20,NextGENIO,no,,EPCC,NextGenIO (BSC & JGU),7/13/2020,1/1/2019,GekkoFS,0.8dev,10,280,28,CentOS,7.6.1810,3.10.0-862.14.4.el7.x86_64,28,2,#N/A,3DXP,NVMe,Omnipath,28,2,56,#N/A,3DXP,NVMe,1.2,67.2,Omnipath,64.15,71.44,3.45,24.06,1880.28,1841.93,981.05,187.32,547.29,1773.11,299.22,3136.93,469.59,24.83,934.12,152.3
27,isc20,NextGENIO,no,,EPCC,NextGenIO (BSC & JGU),7/13/2020,1/1/2019,GekkoFS,0.8dev,10,280,28,CentOS,7.6.1810,3.10.0-862.14.4.el7.x86_64,28,2,#N/A,3DXP,NVMe,Omnipath,28,2,56,#N/A,3DXP,NVMe,1.2,67.2,Omnipath,63.3,71.97,3.31,25.55,1897.67,1940.82,999.77,143.74,544.19,1730.11,279.78,3146.1,459.31,24.91,902.12,149.92
28,isc20,Venus2,no,,National Supercomputer Center in Guangzhou,National Supercomputer Center in Guangzhou,7/13/2020,4/28/2020,kapok,1,10,260,26,CentOS,7.3.1611,3.10.0-514.el7.x86_64,20,1,64GB,NAND,SATA,#N/A,38,1,38,64GB,NAND,NVMe,0.15,5.7,Ethernet,38.7,64.1,9.92,35.73,277.09,1355.07,647.3,209.1,438.04,1245.93,532.29,4684.31,421.8,30.62,716.11,148.08
29,isc20,Venus2,no,,National Supercomputer Center in Guangzhou,National Supercomputer Center in Guangzhou,7/13/2020,4/28/2020,kapok,1,10,260,26,CentOS,7.3.1611,3.10.0-514.el7.x86_64,20,1,64GB,NAND,SATA,#N/A,38,1,38,64GB,NAND,NVMe,0.15,5.7,Ethernet,35.93,64.42,9.15,33.38,316.99,1344.21,643.98,224.26,351.72,1237.39,552.9,6038.83,423.16,28.99,739.49,146.42
30,isc20,Oakforest-PACS,no,,JCAHPC,DDN,7/13/2020,12/1/2016,IME,1.3.2.1,512,4096,8,CentOS,7.3.1611,3.1,1,12,#N/A,NAND,NVMe,Omnipath,24,2,48,#N/A,NAND,NVMe,0.15,7.2,Omnipath,333.95,574.15,281.95,250.98,12.18,197.2,84.11,11.88,123.41,128.04,23.11,273.76,185.86,341.29,62.74,146.33
31,isc20,AI400X,no,,DDN,DDN,7/13/2020,6/30/2020,Lustre,2.13.54,40,1280,32,CentOS,8.1.1911,4.18.0-147.8.1.el8_1.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,4,10,40,3.84TB,NAND,NVMe,0.15,6,IB-EDR,73.57,88.89,10.19,72.23,378.84,1069.15,237.28,131.45,350.85,1108.62,99.59,1361.85,330.1,46.84,400.84,137.03
32,isc20,AI400X,no,,DDN,DDN,7/13/2020,6/30/2020,Lustre,2.13.54,40,1280,32,CentOS,8.1.1911,4.18.0-147.8.1.el8_1.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,4,10,40,3.84TB,NAND,NVMe,0.15,6,IB-EDR,73,91.25,5.15,80.15,355.8,1114.09,242.87,130.61,356.29,1100.21,91.94,1386.84,313.5,40.72,397.91,127.29
33,sc19,NEXTGenIO Prototype,no,,EPCC,BSC (NEXTGenIO) & JGU (Ada-FS),10/6/2019,1/1/2019,GekkoFS,0.6dev,10,240,24,CentOS,7.6.1810,3.10.0-862.14.4.el7.x86_64,33,2,2TB,3DXP,DIMM,Omnipath,33,2,66,2000GB,3DXP,NVMe,1.2,79.2,Omnipath,67.81,38.39,3.49,23.39,1733.37,1718.61,891.28,194.59,496.41,1625.07,313.65,608.03,379.1,21.47,728.68,125.08
34,isc20,DIME,no,,DDN,DDN,7/13/2020,1/3/2018,IME,1.4,10,110,11,CentOS,7.7.1908,3.1,2,13,#N/A,NAND,NVMe,IB-EDR,6,18,108,216TB,NAND,NVMe,0.15,16.2,IB-EDR,103.14,97.75,105.4,95.49,159.5,354.26,110.08,24.48,195.46,55.68,21.6,3322.34,207.29,100.37,136.27,116.95
35,isc20,DIME,no,,DDN,DDN,7/13/2020,1/3/2018,IME,1.4,10,110,11,CentOS,7.7.1908,3.1,2,13,#N/A,NAND,NVMe,IB-EDR,6,18,108,216TB,NAND,NVMe,0.15,16.2,IB-EDR,103.14,97.75,105.4,95.49,159.5,354.26,110.08,24.48,195.46,55.68,21.6,3322.34,207.29,100.37,136.27,116.95
36,isc20,Oracle Cloud Infrastructure,yes,,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/19/2020,BeeGFS,7.1.5,270,3240,12,Oracle Linux UEK,7.7,4.14.35-1902.6.6.el7uek.x86_64,270,1,384GB,NAND,NVMe,100GbE,270,1,270,384GB,NAND,NVMe,0.15,40.5,Ethernet,483.72,746.73,1.32,10.64,2908.53,14312.11,3147.97,2.22,17.03,19.55,7.04,11217.63,228.46,47.44,229.33,104.3
37,isc20,bracewell,no,,CSIRO,Dell/DDN,7/13/2020,8/8/2018,Lustre,2.12.3,10,400,40,CentOS,7.7.1908,3.1,8,4,192GB,NAND,NVMe,IB-EDR,8,20,160,192GB,NAND,NVMe,0.15,24,IB-EDR,135.03,133.62,10.44,13.46,206.33,485.45,186.4,150.71,208.81,378.14,124.15,532.46,227.7,39.9,248.81,99.64
38,isc20,bracewell,no,,CSIRO,Dell/DDN,7/13/2020,8/8/2018,Lustre,2.12.3,10,400,40,CentOS,7.7.1908,3.1,8,4,192GB,NAND,NVMe,IB-EDR,8,20,160,192GB,NAND,NVMe,0.15,24,IB-EDR,136.31,130.88,10.5,13.49,226.97,460.22,181.27,157.85,205.72,334.92,104.03,501.27,221.78,39.87,239.26,97.67
39,isc20,MOGON II,no,,Johannes Gutenberg University Mainz,JGU (ADA-FS)& BSC (NEXTGenIO),7/13/2020,10/1/2017,GekkoFS,0.8dev,10,160,16,CentOS,7.4.1708,3.10.0-1127.8.2.el7.x86_64,200,1,#N/A,NAND,SATA,Omnipath,200,1,200,#N/A,NAND,SATA,0.15,30,Omnipath,63.11,22.49,2.87,4.46,1462.02,1454.74,782.98,249.1,284.09,1493.59,273.36,3542.87,329.1,11.61,801.6,96.46
40,sc19,bracewell scratch2,no,,CSIRO,Dell/ThinkParQ,11/12/2019,10/2/2018,beegfs,7.1.3,26,260,10,SUSE Linux Enterprise,12 SP 4,4.12,2,24,384GB,NAND,NVMe,IB-EDR,12,24,288,192GB,NAND,NVMe,0.15,43.2,IB-EDR,228.98,180.44,5.43,101.64,143.57,882.77,231.88,10.95,36.15,139.09,17.56,2910.62,177.59,69.1,130.23,94.86
41,isc20,MOGON II,no,,Johannes Gutenberg University Mainz,JGU (ADA-FS)& BSC (NEXTGenIO),7/13/2020,10/1/2017,GekkoFS,0.8dev,10,160,16,CentOS,7.4.1708,3.10.0-1127.8.2.el7.x86_64,200,1,#N/A,NAND,SATA,Omnipath,200,1,200,#N/A,NAND,SATA,0.15,30,Omnipath,48.84,22.81,2.88,4.5,1493.89,1433.29,790.06,246.26,286.47,1439.66,270.7,3187.15,319.11,10.96,787.71,92.91
42,isc20,Oracle Cloud Infrastructure,yes,,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/7/2020,BeeGFS,7.1.5,170,2040,12,Oracle Linux UEK,7.7,4.14.35-1902.6.6.el7uek.x86_64,150,1,384GB,NAND,NVMe,100GbE,170,1,170,384GB,NAND,NVMe,0.15,25.5,Ethernet,350.56,473.95,1.83,10.88,1910.52,8595.73,2021.91,2.33,17.79,24.39,7.05,9265.91,198.72,42.65,196.2,91.48
43,isc20,Govorun,no,,JINR,RSC Group,7/13/2020,18-Mar,Lustre,2.13.0,50,800,16,CentOS,7.7.1908,3.10.0-1062.1.1.el7.x86_64,12,2,187GB,NAND,NVMe,Omnipath,12,2,24,187GB,NAND,NVMe,0.15,3.6,Omnipath,156.46,78.78,11.67,11.18,492.38,858.77,348.72,113.77,164.74,201.26,67.45,222.76,209.16,35.61,231.88,90.87
44,isc20,Govorun,no,,JINR,RSC Group,7/13/2020,18-Mar,Lustre,2.13.0,50,800,16,CentOS,7.7.1908,3.10.0-1062.1.1.el7.x86_64,12,2,187GB,NAND,NVMe,Omnipath,12,2,24,187GB,NAND,NVMe,0.15,3.6,Omnipath,136.6,80.59,10.93,14.39,471.97,816.14,354.22,72.41,170.79,205.48,66.86,204.18,200.72,36.28,215.97,88.51
45,sc19,TStor3000,no,,State Key Laboratory of High-end Server & Storage Technology,INSPUR,11/7/2019,10/10/2019,BeeGFS,7.1.3,10,300,30,CentOS,7.6.1810,3.10.0-957.el7.x86_64,24,3,384GB,3DXP,DIMM,IB-EDR,24,8,192,384GB,NAND,NVMe,0.15,28.8,IB-EDR,105.1,97.26,6.43,43.56,478.03,2621.06,762.01,8.47,26.92,121.68,11.87,1809.67,175.43,41.14,165.71,82.57
46,sc19,iFLYTEK,no,,iFLYTEK,Yanrong,11/1/2019,19-Sep,YRCloudFile,6,10,200,20,CentOS,7.4.1708,4.12.14,20,1,128GB,NAND,NVMe,IB-EDR,10,2,20,128GB,NAND,NVMe,0.15,3,IB-EDR,33.18,10.96,6.19,14.99,268.01,1084.31,199,179.91,241.76,909.83,258.9,3110.12,237.64,13.55,455.18,78.54
47,isc20,Oracle Cloud Infrastructure,yes,,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/7/2020,Spectrum Scale,5.0.5.0,48,768,16,CentOS,7.8.2003,3.10.0-1127.10.1.el7.x86_64,40,10,768GB,NAND,NVMe,100GbE,40,10,400,768GB,NAND,NVMe,0.15,60,Ethernet,83.34,93.46,4.73,40.29,986.28,796.96,408.9,18.9,28.14,48.68,10.08,2211.69,151.28,34.91,144.06,70.91
48,isc20,AI400X,no,,DDN,DDN,7/13/2020,6/30/2020,Lustre,2.13.53,10,160,16,CentOS,8.1.1911,4.18.0-147.8.1.el8_1.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,2,10,20,3.84TB,NAND,NVMe,0.15,3,IB-EDR,37.56,45.95,2.77,40.81,157.22,453.51,135.09,90.47,169,446.75,76.94,1698.37,175.83,21.01,232.7,69.92
49,sc19,EXA5-GCP-PD-SSD,no,,Google Cloud,Google Cloud,11/4/2019,11/6/2019,Lustre,EXA5 - Lustre 2.12.3,200,1600,8,CentOS,7.7.1908,#N/A,5,1,240GB,NAND,#N/A,#N/A,100,1,100,240GB,NAND,#N/A,0.15,15,#N/A,77.43,102.16,4.24,15.67,143.67,593.05,100.45,118.72,113.16,183.34,46.94,725.47,155.31,26.93,170.61,67.78
50,isc20,Officinalis,no,,#N/A,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),8,256,32,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8,8,384GB,NAND,NVMe,25GbE,8,8,64,384GB,NAND,NVMe,0.15,9.6,4x25GbE,57.47,70.8,11.61,14.13,174.64,719.13,131.73,10.4,132.62,417.7,28.7,1313.62,149.56,28.58,156.48,66.88
51,sc19,bracewell,no,,CSIRO,Dell/ThinkParQ,11/8/2019,10/2/2018,beegfs,7.1.3,10,160,16,SUSE Linux Enterprise,12 SP 4,4.12,2,24,384GB,NAND,NVMe,IB-EDR,9,24,216,192GB,NAND,NVMe,0.15,32.4,IB-EDR,111.55,92.99,2.11,59.47,152.16,921.71,230.53,11.03,38.05,130.82,18.78,2789.71,141.25,33.77,132.15,66.8
52,isc20,Oracle Cloud Infrastructure,yes,,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/7/2020,Spectrum Scale,5.0.5.0,48,768,16,CentOS,7.8.2003,3.10.0-1127.10.1.el7.x86_64,40,10,768GB,NAND,NVMe,100GbE,40,10,400,768GB,NAND,NVMe,0.15,60,Ethernet,90.98,82.86,4,33.84,990.88,791.68,403.88,18.47,28.25,49.58,9.83,1826.85,143.83,31.78,139.96,66.69
53,isc20,Polytechnic RSC Tornado,no,,SPbPU,RSC Group,7/13/2020,#N/A,Lustre,2.13.0,59,944,16,CentOS,7.7.1908,3.10.0-1062.1.1.el7.x86_64,4,2,187GB,NAND,NVMe,IB-FDR,55,2,110,187GB,NAND,NVMe,0.15,16.5,IB,124.8,194.97,2.98,2.98,188.81,735.71,134.52,88.86,304.47,380.5,64.77,146.54,155.88,21.56,191.73,64.29
54,isc20,Polytechnic RSC Tornado,no,,SPbPU,RSC Group,7/13/2020,#N/A,Lustre,2.13.0,59,944,16,CentOS,7.7.1908,3.10.0-1062.1.1.el7.x86_64,4,2,187GB,NAND,NVMe,IB-FDR,55,2,110,187GB,NAND,NVMe,0.15,16.5,IB,126.11,197.18,2.81,2.79,173.96,774.97,131.04,87.97,295.1,390.28,79.21,151.51,156.63,21,195.66,64.11
