rank,information__list_id,information__system,information__is_cloud,information__is_vendor,information__institution,information__storage_vendor,information__submission_date,information__storage_install_date,information__filesystem_type,information__filesystem_version,information__client_nodes,information__client_total_procs,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_volatile_memory_capacity,information__md_storage_type,information__md_storage_interface,information__md_network,information__ds_nodes,information__ds_storage_devices,information_net_ds_storage_devices,information__ds_volatile_memory_capacity,information__ds_storage_type,information__ds_storage_interface,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,information__ds_network,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
55,sc19,iFLYTEK,no,,iFLYTEK,Yanrong,11/5/2019,19-Sep,YRCloudFile,6,10,200,20,CentOS,7.4.1708,4.12.14,20,1,128GB,NAND,NVMe,IB-EDR,10,2,20,128GB,NAND,NVMe,0.15,3,IB-EDR,25.72,9.58,4.48,15.33,195.2,943.16,163.99,157.2,236.34,889.57,217.29,1268.88,191.48,11.41,358.87,63.98
56,sc19,AI400,no,,DDN,DDN,11/10/2019,#N/A,Lustre,2.12.58,10,240,24,CentOS,8.0.1905,4.18.0-80.el8.x86_64,2,0,64GB,NAND,NVMe,IB-EDR,2,12,24,64GB,NAND,NVMe,0.15,3.6,IB,28.62,41.72,2.96,42.19,152.84,451.97,132.76,79.65,172.59,449.93,75.15,810.42,159.38,19.65,207.63,63.88
57,isc20,AI400X,no,,DDN,DDN,7/13/2020,6/30/2020,Lustre,2.13.53,10,160,16,CentOS,8.1.1911,4.18.0-147.8.1.el8_1.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,2,10,20,3.84TB,NAND,NVMe,0.15,3,IB-EDR,36.72,45.5,2.57,23.34,150.4,451.93,140.7,87.25,155.17,457.3,73.09,1747.95,164.59,17.79,229.01,63.83
58,sc19,Data Accelerator,no,,University of Cambridge,Dell EMC,11/10/2019,5/1/2018,Lustre,2.13 (tip of master branch as of running),10,320,32,CentOS,7.7.1908,3.10.0-957.10.1.el7.x86_64,24,1,192GB,NAND,NVMe,Omnipath,24,12,288,192GB,NAND,NVMe,0.15,43.2,Omnipath,142.4,106.33,3.18,4.62,435.7,1184.27,129.62,29.81,59.01,65.4,10.74,7348.56,142.59,21.73,167.09,60.25
59,isc20,Officinalis,no,,#N/A,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),8,256,32,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8,8,384GB,NAND,NVMe,25GbE,8,8,64,384GB,NAND,NVMe,0.15,9.6,4x25GbE,57.87,70.89,11.32,14.08,108.68,501.63,116.08,9.87,139.25,127.89,36.33,1394.9,127.94,28.44,124.13,59.42
60,isc20,EC2-10xi3en.metal,yes,,Red Hat,Red Hat,7/13/2020,7/5/2020,CephFS,Master (e9cc7d86),10,320,32,Fedora,31,5.7.6-201.fc32.x86_64,10,8,768GB,NAND,NVMe,100GbE,10,8,80,768GB,NAND,NVMe,0.15,12,#N/A,36.26,75.62,9.14,19.08,191.98,903.11,123.45,17.19,87.51,97.4,18.81,965.79,124.75,26.29,124.3,57.17
61,isc20,Officinalis,no,,#N/A,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),8,256,32,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8,8,384GB,NAND,NVMe,25GbE,8,8,64,384GB,NAND,NVMe,0.15,9.6,4x25GbE,58.45,68.43,10.76,13.61,187.38,726.51,136.79,16.95,76.12,77.55,23.62,671.71,120.13,27.67,114.5,56.28
62,isc20,EC2-10xi3en.metal,yes,,Red Hat,Red Hat,7/13/2020,7/5/2020,CephFS,Master (e9cc7d86),10,320,32,Fedora,31,5.7.6-201.fc32.x86_64,10,8,768GB,NAND,NVMe,100GbE,10,8,80,768GB,NAND,NVMe,0.15,12,#N/A,30.76,55.01,11.91,21.55,189.58,917.71,121.26,20.63,68.94,119.17,11.52,938.67,119.82,25.67,118.42,55.13
63,isc20,Officinalis,no,,#N/A,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),8,256,32,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8,8,384GB,NAND,NVMe,25GbE,8,8,64,384GB,NAND,NVMe,0.15,9.6,4x25GbE,60.4,68.22,11.06,13.68,157.85,665.21,117.31,18.13,69.56,66.61,15.29,718.83,111.53,28.1,101.63,53.44
64,sc19,EXA5-GCP-PD-STD,no,,Google Cloud,Google Cloud,11/6/2019,11/6/2019,Lustre,EXA5 - Lustre 2.12.3,200,1600,8,CentOS,7.7.1908,#N/A,5,1,240GB,NAND,#N/A,#N/A,100,1,100,60GB,HDD,#N/A,0.02,2,#N/A,38.68,82.5,8.47,3.32,167.63,583.86,91.02,105.95,77.63,197.42,51.28,641.47,129.52,17.31,162.06,52.96
65,sc19,Tianhe-2E,no,,National Supercomputing Center in Changsha,National University of Defense Technology,11/12/2019,8/1/2019,Lustre,2.12.2,10,160,16,Kylin Linux,4,3.10.0,40,1,1.6TB,NAND,NVMe,Omnipath,52,11,572,384GB,NAND,NVMe,0.15,85.8,Omnipath,185.44,107.45,6.62,11.46,108.73,49.66,212.8,20.3,22.14,49.67,25.29,2305.16,101.39,35.06,78.86,52.58
66,sc19,Tianhe-2E,no,,National Supercomputing Center in Changsha,National University of Defense Technology,11/11/2019,8/1/2019,Lustre,2.12.2,10,160,16,Kylin Linux,4,3.10.0,40,1,1.6TB,NAND,NVMe,Omnipath,52,11,572,384GB,NAND,NVMe,0.15,85.8,Omnipath,172.24,96.01,5.21,13.27,117.84,49.65,180.85,20.08,21.89,49.42,25.42,2042.91,97.22,32.71,76.67,50.08
67,sc19,sharedscratch,no,,"Janelia Research Campus, HHMI",WekaIO,11/9/2019,19-Feb,wekaio,3.5.2,18,1368,76,Scientific-Linux,7.7,3.10.0-957.10.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,20,4,80,96GB,NAND,NVMe,0.15,12,Ethernet,28.56,32.55,12.93,39.35,34.44,3067.65,34.05,10.78,195.56,77.34,10.12,767.2,100.97,26.22,90.62,48.75
68,sc19,Oracle Cloud Infrastructure,yes,,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,10/3/2019,#N/A,Spectrum Scale,5.0.3.2,30,480,16,CentOS,8.0.1905,3.10.0-957.27.2.el7.x86_64,22,11,768GB,NAND,NVMe,25GbE,22,11,242,768GB,NAND,NVMe,0.15,36.3,25GbE,36.38,53.59,3.61,24.55,430.84,604.52,341.63,17.93,31.54,30.86,8.72,1692.21,106.23,20.38,110.93,47.55
69,sc19,Aspire 1,no,,"National Supercomputing Centre, Singapore",DDN,10/10/2019,#N/A,IME,#N/A,10,160,16,CentOS,6.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95.8,107.8,100.03,103.75,61.59,21.73,13.46,20.14,6.29,10.76,91.62,5.37,54.42,101.75,18.21,43.04
70,sc19,Penguin-ASG-NVBeeOne,no,,Penguin Computing Benchmarking and Innovation Lab,Penguin Computing/Excelero,11/12/2019,8/12/2019,BeeGFS,7.1.3,10,320,32,Red Hat Enterprise Linux,7.6,3.10.0-957.27.2.el7.x86_64,8,4,#N/A,NAND,NVMe,IB-EDR,8,9,72,#N/A,NAND,NVMe,0.15,10.8,IB-EDR,30.96,57.52,1.76,31.46,156.84,1681.39,120.22,7.85,25.48,107.33,7.33,772.36,87.37,17.71,88.76,39.65
71,sc19,HAL,no,,CNES,DDN,11/8/2019,1/1/2017,Spectrum Scale,4.2.3-18,96,96,1,CentOS,7.6.1810,3.10.0-957.12.2.el7.x86_64,2,12,192GB,NAND,NVMe,IB-EDR,4,75,300,192GB,NAND,SAS,0.15,45,IB-EDR,62.64,72.33,0.09,20.86,144.07,277.73,111.9,18.27,108.14,234.03,28.98,2786.44,97.9,9.71,142.2,37.16
72,sc19,sharedscratch,no,,"Janelia Research Campus, HHMI",WekaIO,11/8/2019,19-Feb,wekaio,3.5.2,10,1440,144,Scientific-Linux,7.7,3.10.0-957.10.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,20,4,80,96GB,NAND,NVMe,0.15,12,Ethernet,27.19,16,12.06,22.73,34.64,2295.84,33.41,9.71,111.38,43.15,8.88,647.98,77.14,18.58,71.9,36.55
73,sc19,HAL,no,,CNES,DDN,11/12/2019,1/1/2017,Spectrum Scale,4.2.3-18,96,96,1,CentOS,7.6.1810,3.10.0-957.12.2.el7.x86_64,2,8,128GB,NAND,NVMe,IB-EDR,8,37,296,128GB,HDD,#N/A,0.02,5.92,IB,63.01,71.72,0.05,22.31,127.33,275.04,110.6,19.05,110.56,232.81,29.34,2965.49,93.6,8.51,141.99,34.76
74,isc20,Oracle Cloud Infrastructure,yes,,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/15/2020,BeeGFS,7.1.5,10,160,16,Oracle Linux UEK,7.7,4.14.35-1902.6.6.el7uek.x86_64,10,1,384GB,NAND,NVMe,100GbE,10,10,100,384GB,NAND,NVMe,0.15,15,Ethernet,26.06,27.22,3,18.18,163.2,720.73,327.7,3.02,17.66,61.23,9.61,987,73.31,14.02,76.67,32.79
75,isc20,sharedscratch,no,,"Janelia Research Campus, HHMI",WekaIO,7/13/2020,19-Feb,wekaio,3.7.0,10,600,60,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,20,4,80,192GB,NAND,NVMe,0.15,12,Ethernet,11.71,22.59,9,9.74,33.73,1088.99,32.47,14.51,91.44,147.39,17.36,407.6,72.17,12.34,79.83,31.39
76,isc20,sharedscratch,no,,"Janelia Research Campus, HHMI",WekaIO,7/13/2020,19-Feb,wekaio,3.7.0,10,600,60,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,20,4,80,192GB,NAND,NVMe,0.15,12,Ethernet,15.66,22.37,9.45,9.59,29.36,1073.9,29.22,10.95,95.81,143.15,17.79,268.94,68.66,13.35,71.22,30.83
77,isc20,Oracle Cloud Infrastructure,yes,,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,7/13/2020,6/15/2020,BeeGFS,7.1.5,10,160,16,Oracle Linux UEK,7.7,4.14.35-1902.6.6.el7uek.x86_64,10,1,384GB,NAND,NVMe,100GbE,10,10,100,384GB,NAND,NVMe,0.15,15,Ethernet,25.94,29.07,1.55,9.95,175.09,685.32,188.63,3.02,19.88,64.08,8.31,1139.15,64.29,10.38,73.2,27.56
78,isc20,Officinalis,no,,#N/A,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),1,112,112,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8,8,384GB,NAND,NVMe,25GbE,8,8,64,384GB,NAND,NVMe,0.15,9.6,4x25GbE,10.25,10.23,7.63,7.51,123.68,359.29,100.24,16.19,92.43,101.85,16.42,255.65,67.49,8.81,85.48,27.43
79,sc19,sharedscratch,no,,"Janelia Research Campus, HHMI",WekaIO,11/4/2019,19-Feb,wekaio,3.4.6,10,400,40,Scientific-Linux,7.7,3.10.0-957.10.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,20,4,80,96GB,NAND,NVMe,0.15,12,Ethernet,21.65,17.85,7.28,25.19,22.12,1594.65,21.55,3.89,28.65,11.68,3.63,1058.55,47.76,16.32,37.37,24.7
80,isc20,sharedscratch,no,,"Janelia Research Campus, HHMI",WekaIO,7/13/2020,19-Feb,wekaio,3.7.0,10,600,60,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,20,4,80,192GB,NAND,NVMe,0.15,12,Ethernet,14.21,15.66,9.12,9.71,37.49,201.86,33.22,14.29,38.34,60.21,14.79,288.63,51.69,11.85,49.39,24.19
81,sc19,Palmetto Burstbuffer,no,,Clemson University,AdvancedHPC,11/1/2019,5/1/2019,BeeGFS,7.1.3,10,120,12,Oracle Linux UEK,7.6,4.1.12-103.9.4.el7uek.x86_64,4,2,512GB,NAND,NVMe,IB-EDR,4,24,96,512GB,NAND,NVMe,0.15,14.4,IB-EDR,20.87,29.59,3.51,13.06,34.39,190.59,48.81,3.91,15.52,55.58,2.61,957.46,42.99,12.97,35.8,21.55
82,isc20,sharedscratch,no,,"Janelia Research Campus, HHMI",WekaIO,7/13/2020,19-Feb,wekaio,3.7.0,10,600,60,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,0,#N/A,#N/A,#N/A,#N/A,#N/A,20,4,80,192GB,NAND,NVMe,0.15,12,Ethernet,14.28,12.96,9.22,9.47,35.53,126.33,29.59,12.84,29.96,39.7,13.69,251.56,44.41,11.27,40.32,21.32
83,isc20,Officinalis,no,,#N/A,"Red Hat, Intel, QCT",7/13/2020,9/1/2019,CephFS,Master (02fc51de),1,112,112,CentOS,8.0.1905,4.18.0-147.6.el8.x86_64,8,8,384GB,NAND,NVMe,25GbE,8,8,64,384GB,NAND,NVMe,0.15,9.6,4x25GbE,10.21,9.7,5.48,7.05,110.7,165.35,61.98,16.86,43.05,53.9,9.86,266.31,49.81,7.87,57.32,21.24
84,isc20,Cedar,no,,Simon Fraser University,Dell/Seagate,7/13/2020,6/1/2017,Lustre,2.12.4,288,288,1,CentOS,7.7.1908,3.10.0-1062.12.1.el7.x86_64,2,1,128GB,NAND,SAS,Omnipath,12,4,48,128GB,HDD,SAS,0.02,0.96,Omnipath,31.82,40.18,0.51,5.25,13.8,90.03,31.76,14.39,30.37,43.65,29.41,866.52,42.48,7.66,45.75,18.72
85,sc19,Sherlock/Fir,no,,Stanford,"Dell, QCT, HGST",11/8/2019,2/5/2019,Lustre,2.12.3,10,240,24,CentOS,7.6.1810,3.10.0-957.27.2.el7.x86_64,4,1,#N/A,NAND,SAS,IB-HDR,16,6,96,#N/A,NAND,SAS,0.15,14.4,IB-HDR,25.01,23.23,0.56,2.29,84.52,354.37,52.55,20.93,40.98,34.23,12.39,475.48,46.64,5.23,63.74,18.25
86,isc20,HammerHead,no,,SUSE,SUSE/Ampere/Arm,7/13/2020,7/11/2020,CephFS,6,10,220,22,SUSE Linux Enterprise,15 SP 1,4.12.14-197.37-default,12,4,128GB,NAND,NVMe,100GbE,10,4,40,128GB,NAND,NVMe,0.15,6,Ethernet,12.66,7.42,2.53,12.2,21.39,93.87,18.17,8.84,28.06,103.75,5.63,280.43,33.82,7.34,33.22,15.61
87,sc19,BEAR-AI,no,,University of Birmingham,DDN,11/10/2019,4/1/2019,Spectrum Scale,5.0.3.3,10,80,8,Red Hat Enterprise Linux,7.6,4.14.0-115.7.1.el7a.ppc64le,0,#N/A,#N/A,#N/A,#N/A,#N/A,4,20,80,96GB,NAND,NVMe,0.15,12,IB,8.88,24.89,0.54,0.47,103.11,188.93,51.04,23.01,124.97,188.01,11.72,496.59,46.09,2.74,86.48,15.39
88,isc20,HammerHead,no,,SUSE,SUSE/Ampere/Arm,7/13/2020,7/11/2020,CephFS,6,10,220,22,SUSE Linux Enterprise,15 SP 1,4.12.14-197.37-default,12,4,128GB,NAND,NVMe,100GbE,10,4,40,128GB,NAND,NVMe,0.15,6,Ethernet,12.88,6.78,2.32,12.13,26.72,79.74,20.79,10,27.65,83.66,5.75,273.59,33.6,7.04,33.57,15.38
89,isc20,HammerHead,no,,SUSE,SUSE/Ampere/Arm,7/13/2020,6/10/2020,CephFS,6,10,200,20,SUSE Linux Enterprise,15 SP 1,4.12.14-197.37-default,12,4,128GB,NAND,NVMe,100GbE,10,4,40,128GB,NAND,NVMe,0.15,6,Ethernet,12.63,6.85,2.5,11.43,20.85,69.34,20.87,9.27,27.23,89.19,6.18,275.88,32.7,7.05,32.21,15.07
90,sc19,TigerShark,no,,SUSE,"SUSE, Intel, Lenovo",11/7/2019,11/1/2018,CephFS,6 (14.2.4),15,120,8,SUSE Linux Enterprise,15 SP1,4.12.14-197.21-default,15,1,32GB,NAND,NVMe,100GbE,10,12,120,96GB,NAND,SATA,0.15,18,100GbE,16.07,9.14,1.57,4.7,32.82,127.92,20.84,12.92,41.64,68.79,6.22,250.5,34.51,5.74,38.72,14.91
91,isc20,HammerHead,no,,SUSE,SUSE/Ampere/Arm,7/13/2020,6/10/2020,CephFS,6,10,200,20,SUSE Linux Enterprise,15 SP 1,4.12.14-197.37-default,12,4,128GB,NAND,NVMe,100GbE,10,4,40,128GB,NAND,NVMe,0.15,6,Ethernet,12.33,6.94,2.4,11.37,21.66,72.11,17.68,10.04,25.3,80.11,6.24,211.43,31.36,6.95,30.46,14.55
92,sc19,Hadley,no,,Nanyang Technological University,DDN,9/27/2019,9/27/2019,GPFS,4.2.3.9,10,640,64,CentOS,7.5.1804,3.10.0-862.2.3.el7.x86_64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.93,37.23,0.82,3.39,39.58,61.87,31.98,9.18,13.83,14.4,4.65,89.69,26.03,7.47,22.24,12.89
93,sc19,Vast,no,,"Janelia Research Campus, HHMI",Vast Data,11/11/2019,19-Jan,#N/A,2.0.6,88,2816,32,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,12,3,#N/A,3DXP,NVMe,50GbE,6,36,216,#N/A,NAND,NVMe,0.15,32.4,Ethernet,12.35,39.04,2.26,4.39,44.7,306.3,65.34,1.32,33.21,52.11,1.72,4.4,24.11,8.31,18.79,12.5
94,sc19,TigerShark,no,,SUSE,"SUSE, Intel, Lenovo",11/7/2019,11/1/2018,CephFS,6 (14.2.4),10,80,8,SUSE Linux Enterprise,15 SP1,4.12.14-197.21-default,15,1,32GB,NAND,NVMe,100GbE,10,12,120,96GB,NAND,SATA,0.15,18,100GbE,14.62,7.72,1.27,3.23,25.74,105.16,18.02,9.29,37.03,41.55,6.28,348.84,29.1,4.64,33.34,12.43
95,isc20,NCSA Industry System,no,,National Center for Supercomputing Applications,DDN/Dell,7/13/2020,15-Mar,Spectrum Scale,5.0.5.0,8,96,12,Red Hat Enterprise Linux,7.8,3.10.0-1127.10.1.el7.x86_64,4,4,128GB,NAND,NVMe,IB-QDR,4,21,84,128GB,HDD,#N/A,0.02,1.68,IB,9.38,10.08,0.77,1.15,81.88,222.3,58.88,8.36,21.41,23.26,8.44,1130.61,33.31,3.03,50.54,12.37
96,isc20,HAL,no,,National Center for Supercomputing Applications,DDN,7/13/2020,19-Sep,Spectrum Scale,5.0.5.0,10,100,10,CentOS,7.7.1908,4.18.0-147.0.3.el7.ppc64le,8,2,32GB,NAND,NVMe,IB-EDR,8,2,16,32GB,NAND,NVMe,0.15,2.4,IB,14.86,12.74,0.43,2.1,71.46,105.83,33.26,2.39,65.37,104.91,0.46,1300.12,27.86,3.62,35.37,11.31
97,isc20,NCSA Industry System,no,,National Center for Supercomputing Applications,DDN/Dell,7/13/2020,15-Mar,Spectrum Scale,5.0.5.0,8,96,12,Red Hat Enterprise Linux,7.8,3.10.0-1127.10.1.el7.x86_64,4,4,128GB,NAND,NVMe,IB-QDR,4,21,84,128GB,HDD,#N/A,0.02,1.68,IB,9.29,10.16,0.81,1.12,66.97,222.53,55.62,12.48,21.72,23.21,9.07,196.4,29.4,3.04,41.78,11.28
98,isc20,HAL,no,,National Center for Supercomputing Applications,DDN,7/13/2020,19-Sep,Spectrum Scale,5.0.5.0,10,100,10,CentOS,7.7.1908,4.18.0-147.0.3.el7.ppc64le,8,2,32GB,NAND,NVMe,IB-EDR,8,2,16,32GB,NAND,NVMe,0.15,2.4,IB,14.24,12.74,0.48,1.98,74.67,107.8,32.59,1.74,51.8,106.7,0.47,1553.05,27.24,3.63,34.15,11.13
99,isc20,Vast,no,,"Janelia Research Campus, HHMI",Vast Data,7/13/2020,19-Jan,#N/A,2.0.6,10,620,62,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,24,12,#N/A,3DXP,NVMe,50GbE,6,36,216,#N/A,NAND,NVMe,0.15,32.4,100GbE,9.9,20.06,1.85,4.47,25.83,265.67,28.24,0.69,81.21,10.38,0.84,31.84,19.26,6.36,15.32,9.87
100,sc19,Sherlock/Oak,no,,Stanford,"Dell, QCT, HGST",11/8/2019,11/1/2016,Lustre,2.12.3,10,240,24,CentOS,7.6.1810,3.10.0-957.27.2.el7.x86_64,2,2,3TB,NAND,SAS,IB-FDR,8,22,176,#N/A,NAND,SAS,0.15,26.4,IB,7.15,7.83,0.23,0.98,15.43,185.7,20.64,8.42,46.75,60.05,15.32,914.54,26.68,1.89,45.87,9.31
101,sc19,IST Austria HPC,no,,IST Austria,Homemade@IST,11/8/2019,9/2/2019,BeeGFS,7.1.3,4,80,20,Debian,9,4.9.0-9-amd64,2,2,128GB,NAND,NVMe,IB-EDR,3,44,132,128GB,HDD,SAS,0.02,2.64,IB-EDR,5.53,7.81,0.14,1.63,31.98,161.53,38.75,8.2,16.44,91.11,8.86,299.5,23.82,1.77,39.98,8.41
102,sc19,Vast,no,,"Janelia Research Campus, HHMI",Vast Data,11/4/2019,19-Jan,#N/A,2.0.1,10,820,82,Scientific-Linux,7.7,3.10.0-957.10.1.el7.x86_64,12,3,#N/A,3DXP,NVMe,50GbE,6,36,216,#N/A,NAND,NVMe,0.15,32.4,Ethernet,12.35,16.27,1.74,4.55,15.63,130.99,31.14,0.68,7.61,11.36,0.82,37.31,14.61,6.31,10.17,8.01
103,isc20,Mistral,no,,German Climate Computing Center,Cray,7/13/2020,3/1/2015,Lustre,2.11.0.300_cray_102_g3dbace1,10,120,12,Red Hat Enterprise Linux,6.1,2.6.32-754.14.2.el6.x86_64,1,#N/A,#N/A,#N/A,#N/A,IB-HDR,62,84,5208,#N/A,HDD,#N/A,0.02,104.16,IB,28.68,26.08,0.11,0.93,14.03,37.48,8.06,10.55,15.59,30.2,8.34,247.53,18.57,2.93,21.36,7.92
104,isc20,Vast,no,,"Janelia Research Campus, HHMI",Vast Data,7/13/2020,19-Jan,#N/A,2.0.6,10,620,62,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,24,12,#N/A,3DXP,NVMe,50GbE,6,36,216,#N/A,NAND,NVMe,0.15,32.4,100GbE,8.4,19.66,1.75,4.37,22.62,110.87,21.93,0.64,4.89,9.3,0.76,31.14,13.08,5.96,8.86,7.27
105,sc19,Sherlock/Regal,no,,Stanford,Dell,11/8/2019,5/28/2013,Lustre,2.8.0,10,160,16,CentOS,7.6.1810,3.10.0-957.27.2.el7.x86_64,1,1,128GB,HDD,SAS,IB-FDR,18,6,108,128GB,HDD,SAS,0.02,2.16,IB,3.66,6.68,0.42,0.71,13.11,129.69,12.34,11.73,19.32,41.74,7.74,459.78,19.3,1.64,30.28,7.05
106,isc20,Mistral,no,,German Climate Computing Center,Cray,7/13/2020,3/1/2015,Lustre,2.11.0.300_cray_102_g3dbace1,10,120,12,Red Hat Enterprise Linux,6.1,2.6.32-754.14.2.el6.x86_64,1,#N/A,#N/A,#N/A,#N/A,IB-HDR,62,84,5208,#N/A,HDD,#N/A,0.02,104.16,IB,30.78,25.73,0.11,0.79,13.63,37.68,7.07,9.68,10.7,29.89,8.05,62.84,15.59,2.89,16.57,6.92
107,sc19,IST Austria HPC,no,,IST Austria,Homemade@IST,11/8/2019,9/2/2019,BeeGFS,7.1.3,10,100,10,Debian,9,4.9.0-9-amd64,2,2,128GB,NAND,NVMe,IB-EDR,3,44,132,128GB,HDD,SAS,0.02,2.64,IB-EDR,5.65,8.39,0.23,0.34,31.21,131.81,39.34,8.17,18.72,37.08,9.75,111.59,18.8,1.39,31.62,6.63
108,sc19,dm11,no,,"Janelia Research Campus, HHMI",#N/A,11/10/2019,3/1/2018,#N/A,8.1.2,10,760,76,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,12,15,#N/A,NAND,SAS,40GbE,56,15,840,#N/A,HDD,SATA,0.02,16.8,Ethernet,16.13,13.39,0.04,5.95,102.15,290.65,12.64,0.99,18.05,13.61,0.35,123.22,14.61,2.61,15.82,6.42
109,isc20,Vast,no,,"Janelia Research Campus, HHMI",Vast Data,7/13/2020,11/1/2019,#N/A,2.0.7,10,620,62,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,4,12,#N/A,3DXP,NVMe,50GbE,1,132,132,#N/A,NAND,NVMe,0.15,19.8,100GbE,2.89,12.63,1.1,3.75,12.46,84.28,9.63,2.25,11.52,20.81,1.79,21.22,12.62,3.51,10.95,6.2
110,isc20,Vast,no,,"Janelia Research Campus, HHMI",Vast Data,7/13/2020,11/1/2019,#N/A,2.0.7,10,620,62,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,4,12,#N/A,3DXP,NVMe,50GbE,1,132,132,#N/A,NAND,NVMe,0.15,19.8,100GbE,2.75,14.89,1.17,3.8,12.61,88.41,10.02,2.25,11.94,21.89,1.86,2.95,11.07,3.67,8.8,5.68
111,isc20,Vast,no,,"Janelia Research Campus, HHMI",Vast Data,7/13/2020,12/1/2019,#N/A,2.0.7,10,620,62,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,4,12,#N/A,3DXP,NVMe,50GbE,1,132,132,#N/A,NAND,NVMe,0.15,19.8,100GbE,3.02,13.08,1.14,3.57,12.8,82.42,10.24,2.27,11.88,22.25,2.02,0.42,9.37,3.56,6.96,4.98
112,sc19,nrs,no,,"Janelia Research Campus, HHMI",Qumulo,11/10/2019,9/1/2016,QumuloFS,2.14.0.1,10,760,76,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,#N/A,13,#N/A,NAND,SATA,#N/A,20,26,520,#N/A,HDD,SATA,0.02,10.4,Ethernet,5.44,13.37,0.17,5.71,9.03,171.2,10.77,0.21,9.81,9.07,0.18,35.32,8.01,2.88,6.11,4.19
113,sc19,nearline4,no,,"Janelia Research Campus, HHMI",Qumulo,11/10/2019,11/1/2018,QumuloFS,2.14.0.1,10,760,76,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,#N/A,3,#N/A,NAND,SATA,#N/A,40,12,480,#N/A,HDD,SATA,0.02,9.6,Ethernet,6.71,8.32,0.13,4.99,8.17,147.78,5.64,0.18,11.88,10.28,0.18,31.02,7.07,2.45,5.49,3.67
114,isc20,SDumont,no,,LNCC,Cay/HPE,7/13/2020,1/13/2016,Lustre,2.12,10,240,24,Red Hat Enterprise Linux,7.6,3.10.0-957.el7.x86_64,1,40,64GB,HDD,SAS,IB-FDR,10,4,40,32GB,HDD,SAS,0.02,0.8,IB-FDR,16.89,14.55,0.08,1.56,0.17,13.59,21.99,0.17,5.28,15.36,8.11,12.28,5.64,2.32,4.02,3.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
